"","Sample","variable","lyta","piab","pos"
"396","S1_72.5","Cq",28.1785974440536,45,FALSE
"397","S1_72.6","Cq",27.7519955558607,45,FALSE
"398","S1_73.1","Cq",45,45,FALSE
"399","S1_73.2","Cq",45,45,FALSE
"400","S1_73.3","Cq",30.5070637060291,45,FALSE
"401","S1_73.4","Cq",45,45,FALSE
"402","S1_73.5","Cq",45,45,FALSE
"403","S1_73.6","Cq",45,45,FALSE
"404","S1_74.099999999999994","Cq",45,45,FALSE
"405","S1_74.2","Cq",32.38303101,45,FALSE
"406","S1_74.3","Cq",37.0374604477967,45,FALSE
"407","S1_74.4","Cq",45,45,FALSE
"408","S1_74.5","Cq",37.5143690846193,45,FALSE
"409","S1_74.6","Cq",38.2541024970001,45,FALSE
"410","S1_75.1","Cq",21.1652831298916,45,FALSE
"411","S1_75.2","Cq",23.06153883,45,FALSE
"412","S1_75.3","Cq",26.8422486276714,45,FALSE
"413","S1_75.4","Cq",34.8996177763818,45,FALSE
"414","S1_75.5","Cq",27.3134398310376,45,FALSE
"415","S1_75.6","Cq",27.1553687248027,45,FALSE
"416","S1_76.1","Cq",28.6818430905257,45,FALSE
"417","S1_76.2","Cq",31.3541825,45,FALSE
"418","S1_76.3","Cq",37.1662262731377,45,FALSE
"419","S1_76.4","Cq",33.68267427714,45,FALSE
"420","S1_76.5","Cq",33.8209608824963,45,FALSE
"421","S1_76.6","Cq",35.0968188473657,45,FALSE
"422","S1_77.1","Cq",45,45,FALSE
"423","S1_77.2","Cq",45,45,FALSE
"424","S1_77.3","Cq",45,38.2174011412926,FALSE
"425","S1_77.4","Cq",45,45,FALSE
"426","S1_77.5","Cq",45,45,FALSE
"427","S1_77.6","Cq",45,45,FALSE
"428","S1_78.1","Cq",45,45,FALSE
"429","S1_78.2","Cq",38.7630083659999,37.8048824348196,TRUE
"430","S1_78.3","Cq",45,45,FALSE
"431","S1_78.4","Cq",45,45,FALSE
"432","S1_78.5","Cq",45,45,FALSE
"433","S1_78.6","Cq",45,45,FALSE
"434","S1_79.1","Cq",23.5066516823153,45,FALSE
"435","S1_79.2","Cq",27.3619168179451,45,FALSE
"436","S1_79.3","Cq",27.205721110449,31.7644508108224,TRUE
"437","S1_79.4","Cq",24.684889815579,45,FALSE
"438","S1_79.5","Cq",25.1033501674567,45,FALSE
"439","S1_79.6","Cq",25.892324359788,45,FALSE
"440","S1_8.1","Cq",45,45,FALSE
"441","S1_8.2","Cq",45,45,FALSE
"442","S1_8.3","Cq",45,45,FALSE
"443","S1_8.4","Cq",45,45,FALSE
"444","S1_8.5","Cq",45,45,FALSE
"445","S1_8.6","Cq",45,45,FALSE
"446","S1_80.1","Cq",45,45,FALSE
"447","S1_80.2","Cq",45,45,FALSE
"448","S1_80.3","Cq",45,45,FALSE
"449","S1_80.4","Cq",45,45,FALSE
"450","S1_80.5","Cq",45,45,FALSE
"451","S1_80.6","Cq",45,45,FALSE
"452","S1_81.1","Cq",45,45,FALSE
"453","S1_81.2","Cq",45,45,FALSE
"454","S1_81.3","Cq",45,45,FALSE
"455","S1_81.4","Cq",45,45,FALSE
"456","S1_81.5","Cq",45,45,FALSE
"457","S1_81.6","Cq",45,45,FALSE
"458","S1_82.1","Cq",45,45,FALSE
"459","S1_82.2","Cq",45,45,FALSE
"460","S1_82.3","Cq",45,45,FALSE
"461","S1_82.4","Cq",45,45,FALSE
"462","S1_82.5","Cq",45,45,FALSE
"463","S1_82.6","Cq",45,45,FALSE
"464","S1_83.1","Cq",45,45,FALSE
"465","S1_83.2","Cq",45,45,FALSE
"466","S1_83.3","Cq",45,45,FALSE
"467","S1_83.4","Cq",45,45,FALSE
"468","S1_83.5","Cq",45,45,FALSE
"469","S1_83.6","Cq",45,45,FALSE
"470","S1_84.1","Cq",45,45,FALSE
"471","S1_84.2","Cq",45,45,FALSE
"472","S1_84.3","Cq",45,45,FALSE
"473","S1_84.4","Cq",45,45,FALSE
"474","S1_84.5","Cq",45,45,FALSE
"475","S1_84.6","Cq",45,45,FALSE
"476","S1_85.1","Cq",45,45,FALSE
"477","S1_85.2","Cq",45,45,FALSE
"478","S1_85.3","Cq",45,45,FALSE
"479","S1_85.4","Cq",34.61375767,45,FALSE
"480","S1_85.5","Cq",45,45,FALSE
"481","S1_85.6","Cq",45,45,FALSE
"482","S1_86.1","Cq",45,45,FALSE
"483","S1_86.2","Cq",45,45,FALSE
"484","S1_86.3","Cq",45,45,FALSE
"485","S1_86.4","Cq",45,45,FALSE
"486","S1_86.5","Cq",45,45,FALSE
"487","S1_86.6","Cq",45,45,FALSE
"488","S1_87.1","Cq",45,45,FALSE
"489","S1_87.2","Cq",45,45,FALSE
"490","S1_87.3","Cq",45,45,FALSE
"491","S1_87.4","Cq",45,45,FALSE
"492","S1_87.5","Cq",45,45,FALSE
"493","S1_87.6","Cq",45,45,FALSE
"494","S1_88.1","Cq",45,45,FALSE
"495","S1_88.2","Cq",39.3850897980494,45,FALSE
"496","S1_88.3","Cq",45,45,FALSE
"497","S1_88.4","Cq",38.15323919,45,FALSE
"498","S1_88.5","Cq",45,45,FALSE
"499","S1_88.6","Cq",38.2051456836266,45,FALSE
"500","S1_89.1","Cq",45,45,FALSE
"501","S1_89.2","Cq",45,45,FALSE
"502","S1_89.3","Cq",45,45,FALSE
"503","S1_89.4","Cq",45,45,FALSE
"504","S1_89.5","Cq",45,45,FALSE
"505","S1_89.6","Cq",45,45,FALSE
"506","S1_9.1","Cq",33.6282401803122,45,FALSE
"507","S1_9.2","Cq",45,45,FALSE
"508","S1_9.3","Cq",37.4906504467462,39.3584541761452,TRUE
"509","S1_9.4","Cq",45,45,FALSE
"510","S1_9.5","Cq",45,45,FALSE
"511","S1_9.6","Cq",45,45,FALSE
"512","S1_90.1","Cq",45,45,FALSE
"513","S1_90.2","Cq",45,45,FALSE
"514","S1_90.3","Cq",45,45,FALSE
"515","S1_90.4","Cq",45,45,FALSE
"516","S1_90.5","Cq",45,45,FALSE
"517","S1_90.6","Cq",45,45,FALSE
"518","S1_91.1","Cq",45,45,FALSE
"519","S1_91.2","Cq",45,45,FALSE
"520","S1_91.3","Cq",45,45,FALSE
"521","S1_91.4","Cq",45,45,FALSE
"522","S1_91.5","Cq",45,45,FALSE
"523","S1_91.6","Cq",45,45,FALSE
"524","S1_92.1","Cq",28.3573949901603,32.6115603355562,TRUE
"525","S1_92.2","Cq",27.8266801471854,45,FALSE
"526","S1_92.3","Cq",28.7153939093385,45,FALSE
"527","S1_92.4","Cq",28.1546477365343,45,FALSE
