"","Sample","plate","variable","lyta","piab","pos"
"502",57.2,6,"Cq",45,9999,FALSE
"503",57.2,7,"Cq",9999,45,FALSE
"504",57.3,10,"Cq",9999,45,FALSE
"505",57.3,11,"Cq",38.7474558815533,9999,FALSE
"506",57.4,19,"Cq",45,45,FALSE
"507",57.5,16,"Cq",45,45,FALSE
"508",57.6,18,"Cq",45,45,FALSE
"509",60.1,3,"Cq",45,45,FALSE
"510",60.2,6,"Cq",30.7351378368373,9999,FALSE
"511",60.2,7,"Cq",9999,45,FALSE
"512",60.3,10,"Cq",9999,45,FALSE
"513",60.3,11,"Cq",31.0302567028728,9999,FALSE
"514",60.4,13,"Cq",9999,45,FALSE
"515",60.4,14,"Cq",36.4159608332748,9999,FALSE
"516",60.5,16,"Cq",31.7776620529965,45,FALSE
"517",60.6,18,"Cq",38.499271860713,45,FALSE
"518",61.1,2,"Cq",24.458202823538,45,FALSE
"519",61.2,6,"Cq",27.3820175633755,9999,FALSE
"520",61.2,7,"Cq",9999,45,FALSE
"521",61.3,10,"Cq",9999,45,FALSE
"522",61.3,11,"Cq",35.1792508006858,9999,FALSE
"523",61.4,13,"Cq",9999,45,FALSE
"524",61.4,14,"Cq",45,9999,FALSE
"525",61.5,16,"Cq",39.7104664885872,45,FALSE
"526",61.6,18,"Cq",41.7897636751788,45,FALSE
"527",62.1,2,"Cq",45,45,FALSE
"528",62.3,10,"Cq",9999,45,FALSE
"529",62.3,11,"Cq",45,9999,FALSE
"530",62.4,13,"Cq",9999,45,FALSE
"531",62.4,14,"Cq",45,9999,FALSE
"532",62.5,16,"Cq",35.5413483753388,33.5454960069469,TRUE
"533",62.5,23,"Cq",35.0745667258769,45,FALSE
"534",62.5,24,"Cq",35.0745667258769,45,FALSE
"535",62.6,18,"Cq",45,45,FALSE
"536",63.1,3,"Cq",45,45,FALSE
"537",63.3,10,"Cq",9999,45,FALSE
"538",63.3,11,"Cq",45,9999,FALSE
"539",63.4,13,"Cq",9999,45,FALSE
"540",63.4,14,"Cq",45,9999,FALSE
"541",63.5,17,"Cq",45,45,FALSE
"542",63.6,18,"Cq",34.8908047358396,32.5740357870963,TRUE
